SiteName,obs_Syear,obs_Eyear,Source,filename,Run_Flag,IGBP_CLASS,z_T,z_U,dt,C3,D0,rss_v,g_min_c,Kr,dl,z0_soil,Km,cd
US-Ton,2001,2014,FLUXNET2015,US-Ton_2001-2014_FLUXNET2015_Flux.nc,0,8,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Tw4,2014,2014,FLUXNET2015,US-Tw4_2014-2014_FLUXNET2015_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Twt,2010,2014,FLUXNET2015,US-Twt_2010-2014_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-UMB,2000,2014,FLUXNET2015,US-UMB_2000-2014_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Var,2001,2014,FLUXNET2015,US-Var_2001-2014_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
