SiteName,obs_Syear,obs_Eyear,Source,filename,Run_Flag,IGBP_CLASS,z_T,z_U,dt,C3,D0,rss_v,g_min_c,Kr,dl,z0_soil,Km,cd
AU-Gin,2012,2017,OzFlux,AU-Gin_2012-2017_OzFlux_Flux.nc,0,8,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-How,2003,2017,OzFlux,AU-How_2003-2017_OzFlux_Flux.nc,0,8,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Lit,2016,2017,OzFlux,AU-Lit_2016-2017_OzFlux_Flux.nc,0,8,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Otw,2009,2010,OzFlux,AU-Otw_2009-2010_OzFlux_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Rig,2011,2016,OzFlux,AU-Rig_2011-2016_OzFlux_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Rob,2014,2017,OzFlux,AU-Rob_2014-2017_OzFlux_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Sam,2011,2017,OzFlux,AU-Sam_2011-2017_OzFlux_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Stp,2010,2017,OzFlux,AU-Stp_2010-2017_OzFlux_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-TTE,2013,2017,OzFlux,AU-TTE_2013-2017_OzFlux_Flux.nc,0,7,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Tum,2002,2017,OzFlux,AU-Tum_2002-2017_OzFlux_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Whr,2015,2016,OzFlux,AU-Whr_2015-2016_OzFlux_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
