SiteName,obs_Syear,obs_Eyear,Source,filename,Run_Flag,IGBP_CLASS,z_T,z_U,dt,C3,D0,rss_v,g_min_c,Kr,dl,z0_soil,Km,cd
US-Ha1,1992,2012,FLUXNET2015,US-Ha1_1992-2012_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Ho1,1996,2004,LaThuile,US-Ho1_1996-2004_LaThuile_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-KS2,2003,2006,FLUXNET2015,US-KS2_2003-2006_FLUXNET2015_Flux.nc,0,6,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Los,2000,2008,FLUXNET2015,US-Los_2000-2008_FLUXNET2015_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-MMS,1999,2014,FLUXNET2015,US-MMS_1999-2014_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-MOz,2005,2006,LaThuile,US-MOz_2005-2006_LaThuile_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Me2,2002,2014,FLUXNET2015,US-Me2_2002-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Me4,1996,2000,LaThuile,US-Me4_1996-2000_LaThuile_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Me6,2011,2014,FLUXNET2015,US-Me6_2011-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Myb,2011,2014,FLUXNET2015,US-Myb_2011-2014_FLUXNET2015_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-NR1,1999,2014,FLUXNET2015,US-NR1_1999-2014_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Ne1,2002,2012,FLUXNET2015,US-Ne1_2002-2012_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Ne2,2002,2012,FLUXNET2015,US-Ne2_2002-2012_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Ne3,2002,2012,FLUXNET2015,US-Ne3_2002-2012_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-PFa,1995,2014,FLUXNET2015,US-PFa_1995-2014_FLUXNET2015_Flux.nc,0,5,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Prr,2011,2013,FLUXNET2015,US-Prr_2011-2013_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-SP1,2005,2005,LaThuile,US-SP1_2005-2005_LaThuile_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-SP2,2000,2004,LaThuile,US-SP2_2000-2004_LaThuile_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-SP3,1999,2004,LaThuile,US-SP3_1999-2004_LaThuile_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-SRG,2009,2014,FLUXNET2015,US-SRG_2009-2014_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-SRM,2004,2014,FLUXNET2015,US-SRM_2004-2014_FLUXNET2015_Flux.nc,0,8,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Syv,2002,2008,FLUXNET2015,US-Syv_2002-2008_FLUXNET2015_Flux.nc,0,5,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Ton,2001,2014,FLUXNET2015,US-Ton_2001-2014_FLUXNET2015_Flux.nc,0,8,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Tw4,2014,2014,FLUXNET2015,US-Tw4_2014-2014_FLUXNET2015_Flux.nc,0,11,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Twt,2010,2014,FLUXNET2015,US-Twt_2010-2014_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-UMB,2000,2014,FLUXNET2015,US-UMB_2000-2014_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Var,2001,2014,FLUXNET2015,US-Var_2001-2014_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-WCr,1999,2006,FLUXNET2015,US-WCr_1999-2006_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Whs,2008,2014,FLUXNET2015,US-Whs_2008-2014_FLUXNET2015_Flux.nc,0,7,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
US-Wkg,2005,2014,FLUXNET2015,US-Wkg_2005-2014_FLUXNET2015_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
ZA-Kru,2000,2002,FLUXNET2015,ZA-Kru_2000-2002_FLUXNET2015_Flux.nc,0,9,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
ZM-Mon,2008,2008,FLUXNET2015,ZM-Mon_2008-2008_FLUXNET2015_Flux.nc,0,4,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
