SiteName,obs_Syear,obs_Eyear,Source,filename,Run_Flag,IGBP_CLASS,z_T,z_U,dt,C3,D0,rss_v,g_min_c,Kr,dl,z0_soil,Km,cd
AU-Wrr,2016,2017,OzFlux,AU-Wrr_2016-2017_OzFlux_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
AU-Ync,2011,2017,OzFlux,AU-Ync_2011-2017_OzFlux_Flux.nc,0,10,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
BE-Bra,2004,2014,FLUXNET2015,BE-Bra_2004-2014_FLUXNET2015_Flux.nc,0,5,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
BE-Lon,2005,2014,FLUXNET2015,BE-Lon_2005-2014_FLUXNET2015_Flux.nc,0,12,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
BE-Vie,1997,2014,FLUXNET2015,BE-Vie_1997-2014_FLUXNET2015_Flux.nc,0,5,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
BR-Sa3,2001,2003,FLUXNET2015,BR-Sa3_2001-2003_FLUXNET2015_Flux.nc,0,2,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
BW-Ma1,2000,2000,LaThuile,BW-Ma1_2000-2000_LaThuile_Flux.nc,0,9,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
CA-NS1,2003,2003,FLUXNET2015,CA-NS1_2003-2003_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
CA-NS2,2002,2004,FLUXNET2015,CA-NS2_2002-2004_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
CA-NS4,2003,2004,FLUXNET2015,CA-NS4_2003-2004_FLUXNET2015_Flux.nc,0,1,-9999,-9999,3600,1,0.25,1,0.4,0.6,0.068,0.01,2.5,0.1
